"Libellé";"Nombre de créations d'entreprises - Hébergement et restauration - Ensemble - France - Données mensuelles CVS";"Codes"
"idBank";"001564308";""
"Dernière mise à jour";"17/11/2021 08:45";""
"Période";"";""
"2003-05";"1225";"A"
"2003-04";"1273";"A"
"2003-03";"1200";"A"
"2003-02";"1106";"A"
"2003-01";"1192";"A"
"2002-12";"1232";"A"
"2002-11";"1145";"A"
"2002-10";"1142";"A"
"2002-09";"1141";"A"
"2002-08";"1125";"A"
"2002-07";"1215";"A"
"2002-06";"1188";"A"
"2002-05";"1175";"A"
"2002-04";"1191";"A"
"2002-03";"1176";"A"
"2002-02";"1162";"A"
"2002-01";"1200";"A"
"2001-12";"1127";"A"
"2001-11";"1184";"A"
"2001-10";"1141";"A"
"2001-09";"1147";"A"
"2001-08";"1148";"A"
"2001-07";"1093";"A"
"2001-06";"1091";"A"
"2001-05";"1071";"A"
"2001-04";"1091";"A"
"2001-03";"1075";"A"
"2001-02";"1034";"A"
"2001-01";"1073";"A"
"2000-12";"1040";"A"
"2000-11";"1109";"A"
"2000-10";"1151";"A"
"2000-09";"1118";"A"
"2000-08";"1222";"A"
"2000-07";"1175";"A"
"2000-06";"1117";"A"
"2000-05";"1142";"A"
"2000-04";"1048";"A"
"2000-03";"979";"A"
"2000-02";"1093";"A"
"2000-01";"1029";"A"
